Words;Status
Наноимпринт литографиясы;Term
нанокомпозиттер;Term
Нанолитография;Term
Наноталшық;Term
Нанотехнологиялық жабындар;Term
нанотрибология;Term
Наноөлшемді аддитивті өндіріс;Term
Наноөлшемді материалдар;Term
Нейтронның зақымдануы;Term
Оптикалық жабындар;Term
Оптикалық микроскопия;Term
органикалық жарық шығаратын диодтар;Term
Отқа төзімді материалдар;Term
Пассивтеу;Term
Пиролиз;Term
Плазма генерациясы;Term
Плазмалық ағындар;Term
Плазмалық күшейтілген химиялық бу тұндыру;Term
Плазмалық-электролиттік тотығу;Term
Плазманы бөлу;Term
Плазманың бетпен әрекеттесуі;Term
Полимер қоспалары;Term
полимерлеу;Term
Полимерлі нанокомпозиттер;Term
Пьезоэлектрлік керамика;Term
Пьезоэлектрлік материалдар;Term
Реактивті ионды улау;Term
рентгендік дифракцияны талдау;Term
Рентгендік фотоэлектрондық спектроскопия;Term
Рентгенография;Term
Реология;Term
Сандық кескін корреляциясы;Term
Скалярлық және артық дислокация тығыздығы;Term
Созу сынағы;Term
Сомдау;Term
Соққы тұтқырлығы;Term
спектроскопия;Term
Спинодальды ыдырау;Term
Стереолитография;Term
Сулану бұрышы;Term
Суперконденсатор материалдары;Term
суперпластика;Term
Суспензиялық полимерлеу;Term
Суық бүрку технологиясы;Term
Суық дәнекерлеу;Term
Сфералық карбидтер;Term
Сызықтық емес оптикалық материалдар;Term
Сырғанау жүйелері;Term
Сырғыштыққа төзімділік;Term
Сұйық кристалды полимерлер;Term
Талшықты арматураланған композиттер;Term
Тезкескіш болат;Term
Термиялық кеңею;Term
Термиялық қорғаныс жабындары;Term
термиялық өңдеу;Term
Термогравиметриялық талдау;Term
Термомеханикалық өңдеу;Term
Термоэлектрлік материалдар;Term
Термоядролық реактор материалдары;Term
титан қорытпалары;Term
тозу;Term
Тордың қисықтығы-бұралу;Term
Торлы қалыпқа жақын қалып жасау;Term
Тот баспайтын болаттар;Term
Тотығу-тотықсыздану реакциялары;Term
Тотығуға төзімділік;Term
Трансмиссиялық электронды микроскопия;Term
Стрибек қисығын;Term
трибология;Term
трибологиялық;Term
Тығыздық функционалдығы теориясы;Term
Тікелей жазу технологиялары;Term
Тікелей металды лазерлік агломерация;Term
Түйіршік шекарасының инженериясы;Term
Түйіршіктерді тазарту;Term
Түйіршіктің өсу ингибиторлары;Term
Тұтқырлы серпімділік;Term
тұтқырлық;Term
Тұтқырлықтан сынғыштыққа ауысу температурасы;Term
Төмен калориялы диэлектрлік материалдар;Term
Ультра жоғары температуралы керамика;Term
Ультрадыбыстық бақылау;Term
фазалық құрам;Term
Фазалық өрісті модельдеу;Term
Феррит-перлит құрылым;Term
Ферроэлектрлік материалдар;Term
Флуоресцентті материалдар;Term
Фокусталған иондық сәулелік фрезерлеу;Term
фотолитография;Term
Фотондық кристалдар;Term
Фотоэлектрлік материалдар;Term
Фрактография;Term
Функционалды материалдардағы сиялы басып шығару;Term
Функционалдық-градиенттік материалдар;Term
Химиялық бумен тұндыру;Term
Химиялық және термиялық өңдеу;Term
Холл-Петч қатынасы;Term
цементит;Term
Цирконий қорытпалары;Term
Шайыр құю;Term
шеттік майлау;Term
Шыны температурасы;Term
Шынықтыру;Term
Шыңдалған мартенсит;Term
Ыстық изостатикалық престеу;Term
Ыстыққа төзімділік;Term
Эвтектикалық жүйелер;Term
электр өткізгіш желімдер;Term
Электр өткізгіштік;Term
Электрокорундты абразив;Term
Электролиттік плазмалық азоттау;Term
Электромагниттік экрандау;Term
электрондардың кері шашырау дифракциясы;Term
Электронды зондты микроанализ;Term
Электронды сәулелік өңдеу;Term
Электрондық және иондық сәулелер;Term
Электрондық микроскопия;Term
Электроспининг;Term
Электрофоретикалық тұндыру;Term
Электрохимиялық импеданс спектроскопиясы;Term
Элементтік құрамды картаға түсіру;Term
Энергетикалық дисперсиялық рентгендік спектроскопия;Term
эрозия;Term
ішкі кернеулер;Term
қайта кристалдану;Term
Қалдық аустенит;Term
Қаптау;Term
Қатайтатын фазалар;Term
Қатпарлы және пакеттік мартенсит;Term
Қатты ерітіндімен қатайту;Term
қатты күйдегі дәнекерлеу;Term
қатты майлаушы;Term
қаттылық;Term
Қаттылыққа сынау;Term
Қорытпалар жады пішінмен;Term
қорғасынсыз дәнекерлеу;Term
Құйынды токты бақылау;Term
Құрылымдық қайта құрылымдау;Term
Құрылымдық-фазалық күйлер;Term
Құрылымдық-фазалық талдау;Term
Құрылыс материалдары;Term
үйкеліс;Term
үйкелісті тозу;Term
ұнтақ металлургиясы;Term
Ұнтақ қабатының лазерлік балқуы;Term
Ұшқын плазмамен жентектеу;Term
Өздігінен қалпына келетін материалдар;Term
Өткізгіш полимерлер;Term
өткізгіштік;Term
Agop;Named Entity
Chacón;Named Entity
Чарльз-Августин де Кулон;Named Entity
Дэвид Тейлор;Named Entity
Echávarri;Named Entity
Фрэнк Филипп Боуденнің;Named Entity
Guerra;Named Entity
Гийом Амонтон;Named Entity
Hasan;Named Entity
Hirani;Named Entity
Өнеркәсіптік революция;Named Entity
Питер Джост;Named Entity
Питер Джосттың;Named Entity
Lăpuşteanu;Named Entity
Manini;Named Entity
Mathia;Named Entity
Nosonovsky;Named Entity
Paleu;Named Entity
Prem Ananth.M;Named Entity
Ричард Стрибек;Named Entity
Sagbas;Named Entity
Spikes;Named Entity
Tysoe;Named Entity
Vakis;Named Entity
Wojciechowski;Named Entity
R6M5;Abb
ГЦК;Abb
XRD;Abb
EBSD;Abb
СЭМ;Abb
EDX;Abb
SET;Abb
ПЭТ;Abb
КМК;Abb
CVD;Abb
FIB;Abb
ФГМ;Abb
МРТ;Abb
PECVD;Abb
ТЭМ;Abb
NEMS;Abb
MEMS;Abb
Vijay.V;Named Entity
