Token,BIO1
that,O
possess,O
a,O
distinct,O
crystal,B
structure,I
",",O
exhibiting,O
unique,O
mechanical,B
",",O
thermal,B
",",O
and,O
electrical,B
properties,O
.,O
"

 

",O
Ion,B
Implantation,I
:,O
A,O
technique,O
used,O
to,O
modify,O
the,O
surface,O
properties,O
of,O
materials,B
by,O
bombarding,O
them,O
with,O
high,B
-,I
energy,I
ions,I
",",O
affecting,O
their,O
electrical,B
",",O
optical,B
",",O
and,O
mechanical,B
characteristics,O
.,O
"

 

",O
Isothermal,B
Transformation,I
:,O
A,O
transformation,O
that,O
occurs,O
at,O
a,O
constant,O
temperature,O
",",O
often,O
used,O
in,O
the,O
context,O
of,O
phase,O
transformations,O
in,O
metals,B
and,O
alloys,B
during,O
heat,B
treatment,I
.,O
"

 

",O
Joule,B
Heating,I
:,O
The,O
process,O
by,O
which,O
the,O
passage,O
of,O
an,O
electric,B
current,I
through,O
a,O
conductor,B
produces,O
heat,B
",",O
also,O
known,O
as,O
resistive,B
or,O
ohmic,B
heating,I
.,O
"

 

",O
Kinetic,B
Monte,I
Carlo,I
Simulation,I
:,O
A,O
computational,O
method,O
used,O
to,O
model,O
the,O
time,O
evolution,O
of,O
various,O
processes,O
",",O
including,O
chemical,B
reactions,I
and,O
diffusion,B
",",O
by,O
simulating,O
the,O
sequence,O
of,O
events,O
based,O
on,O
their,O
probability,O
of,O
occurrence,O
.,O
"

 

",O
Laser,B
Cladding,I
:,O
A,O
material,B
deposition,O
process,O
that,O
uses,O
a,O
laser,B
to,O
melt,B
metal,B
powder,O
or,O
wire,O
onto,O
a,O
substrate,B
",",O
forming,O
a,O
high,O
-,O
quality,O
coating,B
that,O
is,O
fully,O
bonded,O
to,O
the,O
base,O
material,B
.,O
"

 

",O
Laser,B
-,I
Induced,I
Breakdown,I
Spectroscopy,I
(,O
LIBS,B
):,O
An,O
analytical,O
technique,O
that,O
uses,O
a,O
high,B
-,I
intensity,I
laser,I
pulse,I
to,O
create,O
a,O
plasma,B
on,O
the,O
material,B
's,O
surface,O
",",O
analyzing,O
the,O
light,B
emitted,I
to,O
determine,O
elemental,O
composition,O
.,O
"

 

",O
Lead,B
-,I
Free,I
Solders,I
:,O
Soldering,B
materials,B
that,O
do,O
not,O
contain,O
lead,B
",",O
used,O
to,O
join,O
metal,B
components,O
in,O
a,O
way,O
that,O
is,O
safer,O
for,O
health,O
and,O
the,O
environment,O
.,O
"

 

",O
Lightweight,B
Alloys,I
:,O
Alloys,B
designed,O
to,O
have,O
low,O
density,B
but,O
high,O
strength,B
and,O
stiffness,B
",",O
used,O
in,O
automotive,B
",",O
aerospace,B
",",O
and,O
other,O
applications,O
where,O
reducing,O
weight,O
is,O
critical,O
.,O
"

 

",O
Liquid,B
Crystal,I
Polymers,I
(,O
LCPs,B
):,O
A,O
type,O
of,O
polymer,B
that,O
exhibits,O
a,O
phase,O
between,O
solid,B
and,O
liquid,B
states,O
",",O
known,O
for,O
their,O
high,O
temperature,B
resistance,I
and,O
mechanical,B
properties,O
",",O
used,O
in,O
electronic,B
and,O
microwave,B
applications,O
.,O
"

 

",O
Luminescent,B
Materials,I
:,O
Materials,B
that,O
emit,B
light,I
through,O
fluorescence,B
",",O
phosphorescence,B
",",O
or,O
other,O
forms,O
of,O
luminescence,B
when,O
excited,O
by,O
an,O
external,O
source,O
of,O
energy,B
.,O
"

 

",O
Magnetic,B
Materials,I
:,O
Materials,B
that,O
exhibit,O
various,O
forms,O
of,O
magnetism,B
",",O
such,O
as,O
ferromagnetism,B
or,O
paramagnetism,B
",",O
used,O
in,O
data,O
storage,O
",",O
motors,O
",",O
and,O
sensors,B
.,O
"

 

",O
Magnetostriction,B
:,O
The,O
property,O
of,O
ferromagnetic,B
materials,B
to,O
change,O
their,O
shape,O
or,O
dimensions,O
during,O
the,O
process,O
of,O
magnetization,B
.,O
"

 

",O
Martensitic,B
Transformation,I
:,O
A,O
diffusionless,O
phase,O
transformation,O
in,O
which,O
the,O
crystal,B
structure,I
of,O
a,O
metal,B
or,O
alloy,B
is,O
changed,O
",",O
typically,O
resulting,O
in,O
a,O
harder,O
and,O
more,O
brittle,B
phase,O
.,O
"

 

",O
Material,B
Fatigue,I
:,O
The,O
weakening,O
or,O
failure,O
of,O
a,O
material,B
after,O
repeatedly,O
applied,O
loads,O
or,O
stress,B
",",O
less,O
than,O
the,O
strength,B
limit,O
of,O
the,O
material,B
",",O
leading,O
to,O
cumulative,O
damage,O
and,O
cracks,B
over,O
time,O
.,O
"

 

",O
Mechanical,B
Alloying,I
:,O
A,O
solid,B
-,I
state,I
powder,O
processing,O
technique,O
involving,O
repeated,O
welding,B
",",O
fracturing,B
",",O
and,O
re,O
-,O
welding,B
of,O
powder,O
particles,O
in,O
a,O
high,O
-,O
energy,B
ball,B
mill,I
to,O
produce,O
alloys,B
.,O
"

 

",O
Mechanical,B
Testing,I
:,O
The,O
evaluation,O
of,O
the,O
mechanical,B
properties,O
of,O
materials,B
",",O
such,O
as,O
strength,B
",",O
ductility,B
",",O
hardness,B
",",O
and,O
toughness,B
",",O
through,O
tests,O
like,O
tension,B
",",O
compression,B
",",O
and,O
impact,O
.,O
"

 

",O
Metal,B
Matrix,I
Composites,I
(,O
MMCs,B
):,O
Composite,B
materials,I
that,O
have,O
a,O
metal,B
matrix,I
and,O
one,O
or,O
more,O
secondary,O
phases,O
as,O
reinforcement,B
",",O
enhancing,O
strength,B
",",O
stiffness,B
",",O
and,O
other,O
properties,O
.,O
"

 

",O
Metal,B
Foams,I
:,O
Lightweight,O
",",O
porous,B
materials,I
made,O
from,O
metals,B
",",O
characterized,O
by,O
their,O
cellular,B
structure,I
",",O
offering,O
benefits,O
in,O
terms,O
of,O
weight,O
reduction,O
and,O
improved,O
energy,B
absorption,B
.,O
"

 

",O
Metallography,B
:,O
The,O
study,O
of,O
the,O
microstructure,B
of,O
metals,B
and,O
alloys,B
through,O
microscopic,B
examination,O
",",O
critical,O
for,O
understanding,O
material,B
properties,O
and,O
failures,O
.,O
"

 

",O
Metastable,B
Phases,I
:,O
Temporary,O
",",O
non,O
-,O
equilibrium,O
states,O
of,O
materials,B
that,O
possess,O
different,O
properties,O
than,O
stable,O
phases,O
",",O
which,O
can,O
transform,O
into,O
more,O
stable,O
configurations,O
over,O
time,O
or,O
under,O
certain,O
conditions,O
.,O
"

 

",O
Microalloying,B
:,O
The,O
addition,O
of,O
small,O
amounts,O
of,O
alloying,O
elements,O
to,O
a,O
base,O
metal,B
to,O
refine,O
its,O
microstructure,B
and,O
improve,O
its,O
properties,O
without,O
significantly,O
altering,O
its,O
composition,O
.,O
"

 

",O
Microelectromechanical,B
Systems,I
(,O
MEMS,B
):,O
Miniaturized,O
mechanical,B
and,O
electromechanical,B
devices,O
or,O
systems,O
fabricated,O
using,O
microfabrication,B
techniques,O
",",O
used,O
in,O
sensors,B
",",O
actuators,B
",",O
and,O
other,O
applications,O
.,O
"

 

",O
Micromachining,B
:,O
The,O
process,O
of,O
machining,O
parts,O
and,O
structures,B
on,O
the,O
microscale,O
",",O
often,O
using,O
techniques,O
like,O
photolithography,B
",",O
laser,B
machining,I
",",O
and,O
micro,B
milling,I
.,O
"

 

",O
Microtensile,B
Testing,I
:,O
A,O
method,O
of,O
testing,O
the,O
mechanical,B
properties,O
",",O
such,O
as,O
tensile,B
strength,I
and,O
elongation,B
",",O
of,O
materials,B
on,O
a,O
microscale,O
sample,O
size,O
.,O
"

 

",O
Microwave,B
Sintering,I
:,O
A,O
method,O
of,O
sintering,B
materials,B
using,O
microwave,B
energy,B
",",O
which,O
can,O
heat,B
materials,B
rapidly,O
and,O
uniformly,O
",",O
leading,O
to,O
enhanced,O
densification,O
and,O
properties,O
.,O
"

 

",O
MIM,B
(,O
Metal,B
Injection,I
Molding,I
):,O
A,O
process,O
combining,O
powder,B
metallurgy,I
and,O
plastic,B
injection,B
molding,I
to,O
produce,O
precise,O
",",O
complex,O
metal,B
parts,O
in,O
large,O
quantities,O
.,O
"

 

",O
Mineral,B
Wool,I
Insulation,I
:,O
An,O
insulation,B
material,I
made,O
from,O
fibers,B
of,O
basalt,B
or,O
slag,B
",",O
offering,O
thermal,B
and,O
sound,O
insulation,B
",",O
and,O
fire,B
resistance,I
.,O
"

 

",O
Molybdenum,B
Disulfide,I
(,O
MoS2,B
):,O
A,O
compound,O
used,O
as,O
a,O
solid,B
lubricant,I
and,O
a,O
semiconductor,B
material,I
",",O
noted,O
for,O
its,O
low,O
friction,B
properties,O
and,O
electronic,B
applications,O
.,O
"

 

",O
Nanocomposites,B
:,O
Materials,B
composed,O
of,O
a,O
matrix,B
and,O
nanoparticles,B
dispersed,O
within,O
it,O
",",O
which,O
can,O
significantly,O
improve,O
the,O
material,B
's,O
mechanical,B
",",O
electrical,B
",",O
or,O
thermal,B
properties,O
.,O
"

 

",O
Nanofibers,B
:,O
Fibers,B
with,O
diameters,O
in,O
the,O
nanometer,O
range,O
",",O
produced,O
by,O
processes,O
like,O
electrospinning,B
",",O
used,O
in,O
applications,O
such,O
as,O
filtration,B
",",O
tissue,B
engineering,I
",",O
and,O
sensors,B
.,O
"

 

",O
Nanolithography,B
:,O
Techniques,O
for,O
patterning,O
structures,B
on,O
a,O
nanoscale,O
",",O
crucial,B
for,O
the,O
fabrication,O
of,O
nanotechnology,B
devices,O
and,O
components,O
.,O
"

 

",O
Nanoparticles,B
:,O
Particles,O
with,O
dimensions,O
measured,O
in,O
nanometers,O
",",O
exhibiting,O
unique,O
chemical,B
",",O
physical,B
",",O
and,O
electronic,B
properties,O
due,O
to,O
their,O
size,O
.,O
"

 

",O
Nanoscale,B
Materials,I
:,O
Materials,B
engineered,O
or,O
structured,O
at,O
the,O
nanometer,O
scale,O
(,O
1,O
to,O
100,O
nanometers,O
),O
",",O
where,O
they,O
exhibit,O
novel,O
properties,O
distinct,O
from,O
bulk,O
materials,B
.,O
"

 

",O
Nanowires,B
:,O
Ultra,O
-,O
thin,O
wires,O
with,O
diameters,O
in,O
the,O
nanometer,O
range,O
",",O
used,O
in,O
electronics,B
and,O
nanotechnology,B
for,O
their,O
unique,O
electrical,B
",",O
thermal,B
",",O
and,O
mechanical,B
properties,O
.,O
"

 

",O
Near,B
Net,I
Shape,I
Manufacturing,I
:,O
Processes,O
that,O
produce,O
parts,O
close,O
to,O
final,O
dimensions,O
",",O
minimizing,O
the,O
need,O
for,O
machining,O
or,O
finishing,O
",",O
reducing,O
material,B
waste,O
and,O
production,O
costs,O
.,O
"

 

",O
Non,B
-,I
destructive,I
Testing,I
(,O
NDT,B
):,O
A,O
range,O
of,O
analysis,O
techniques,O
used,O
to,O
evaluate,O
the,O
properties,O
of,O
a,O
material,B
",",O
component,O
",",O
or,O
system,O
without,O
causing,O
damage,O
.,O
"

 

",O
Optical,B
Microscopy,I
:,O
The,O
use,O
of,O
light,B
microscopes,I
to,O
visualize,O
small,O
features,O
and,O
structures,B
of,O
materials,B
at,O
magnifications,O
typically,O
up,O
to,O
1000x,O
.,O
"

 

",O
Organometallic,B
Frameworks,I
(,O
MOFs,B
):,O
Structures,B
consisting,O
of,O
metal,B
ions,B
or,O
clusters,O
coordinated,O
to,O
organic,B
ligands,I
to,O
form,O
one-,O
",",O
two-,O
",",O
or,O
three,B
-,I
dimensional,I
networks,O
",",O
used,O
for,O
gas,B
storage,O
",",O
separation,O
",",O
and,O
catalysis,B
.,O
"

 

",O
Oxidation,B
Resistance,I
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
withstand,O
damage,O
caused,O
by,O
reaction,O
with,O
oxygen,B
and,O
other,O
corrosive,O
environments,O
at,O
high,O
temperatures,B
.,O
"

 

",O
Particle,B
Reinforced,I
Composites,I
:,O
Composites,O
where,O
small,O
particles,O
are,O
dispersed,O
within,O
a,O
matrix,B
material,I
to,O
enhance,O
its,O
mechanical,B
and,O
physical,B
properties,O
.,O
"

 

",O
Passivation,B
:,O
The,O
process,O
of,O
making,O
a,O
material,B
less,O
reactive,O
by,O
creating,O
a,O
protective,O
oxide,B
layer,I
on,O
its,O
surface,O
",",O
enhancing,O
corrosion,B
resistance,I
.,O
"

 

",O
Permeability,B
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
allow,O
fluids,B
or,O
gases,B
to,O
pass,O
through,O
it,O
",",O
important,O
in,O
filtration,B
",",O
membrane,B
technology,I
",",O
and,O
porous,B
materials,I
.,O
"

 

",O
Photolithography,B
:,O
A,O
process,O
used,O
in,O
microfabrication,B
to,O
pattern,O
parts,O
of,O
a,O
thin,B
film,I
or,O
the,O
bulk,O
of,O
a,O
substrate,B
using,O
light,B
to,O
transfer,O
a,O
geometric,O
pattern,O
from,O
a,O
photomask,B
to,O
a,O
light,B
-,I
sensitive,I
chemical,I
photoresist,I
on,O
the,O
substrate,B
.,O
"

 

",O
Piezoelectric,B
Materials,I
:,O
Materials,B
that,O
generate,O
an,O
electric,B
charge,I
in,O
response,O
to,O
applied,O
mechanical,B
stress,I
",",O
used,O
in,O
sensors,B
",",O
actuators,B
",",O
and,O
energy,B
harvesting,O
devices,O
.,O
"

 

",O
Plasma,B
Enhanced,I
Chemical,I
Vapor,I
Deposition,I
(,O
PECVD,B
):,O
A,O
technique,O
used,O
to,O
deposit,O
thin,B
films,I
from,O
a,O
gas,B
state,O
to,O
a,O
solid,B
state,O
on,O
a,O
substrate,B
by,O
applying,O
a,O
plasma,B
to,O
enhance,O
chemical,B
reactions,I
at,O
lower,O
temperatures,B
.,O
"

 

",O
Polymer,B
Blends,I
:,O
Physical,B
mixtures,B
of,O
two,O
or,O
more,O
polymers,B
to,O
combine,O
properties,O
of,O
the,O
constituent,O
polymers,B
",",O
offering,O
improved,O
characteristics,O
or,O
performance,O
.,O
"

 

",O
Polymerization,B
:,O
The,O
chemical,B
process,O
of,O
joining,O
monomers,B
to,O
form,O
a,O
polymer,B
",",O
a,O
large,O
molecule,O
composed,O
of,O
repeating,O
structural,O
units,O
.,O
"

 

",O
Porosity,B
:,O
The,O
presence,O
of,O
pores,O
or,O
voids,O
within,O
a,O
material,B
",",O
affecting,O
its,O
mechanical,B
strength,B
",",O
density,B
",",O
permeability,B
",",O
and,O
other,O
properties,O
.,O
"

 

",O
Powder,B
Metallurgy,I
:,O
A,O
manufacturing,O
process,O
that,O
involves,O
making,O
metal,B
parts,O
and,O
components,O
from,O
powdered,B
metal,I
through,O
pressing,B
and,O
sintering,B
.,O
"

 

",O
Precipitation,B
Hardening,I
:,O
A,O
heat,B
treatment,I
technique,O
used,O
to,O
increase,O
the,O
yield,B
strength,I
of,O
malleable,B
materials,I
",",O
including,O
most,O
structural,O
alloys,B
",",O
by,O
dispersing,O
small,O
particles,O
within,O
the,O
metal,B
matrix,I
.,O
"

 

",O
Pyrolysis,B
:,O
The,O
thermal,B
decomposition,I
of,O
materials,B
at,O
elevated,O
temperatures,B
in,O
an,O
inert,O
atmosphere,B
",",O
used,O
in,O
the,O
production,O
of,O
carbon,B
fibers,I
",",O
biochar,B
",",O
and,O
other,O
materials,B
.,O
"

 

",O
Quantum,B
Dots,I
:,O
Nanoscale,O
semiconductor,B
particles,O
that,O
have,O
quantum,B
mechanical,I
properties,O
",",O
used,O
in,O
displays,O
",",O
solar,B
cells,I
",",O
and,O
biomedical,B
imaging,O
.,O
"

 

",O
Quenching,B
:,O
A,O
rapid,O
cooling,O
process,O
used,O
after,O
heat,B
treatment,I
of,O
materials,B
to,O
increase,O
hardness,B
and,O
strength,B
by,O
inducing,O
phase,O
transformations,O
.,O
"

 

",O
Radiography,B
:,O
The,O
use,O
of,O
X,B
-,I
rays,I
or,O
gamma,B
rays,I
to,O
view,O
the,O
internal,O
structure,B
of,O
an,O
object,O
",",O
a,O
non,B
-,I
destructive,I
testing,I
method,O
to,O
detect,O
internal,O
flaws,B
.,O
"

 

",O
Reactive,B
Ion,I
Etching,I
(,O
RIE,B
):,O
A,O
plasma,B
-,I
based,I
etching,I
process,O
used,O
in,O
microfabrication,B
to,O
produce,O
high,O
aspect,O
ratio,O
structures,B
with,O
vertical,O
sidewalls,O
.,O
"

 

",O
Recrystallization,B
:,O
A,O
process,O
by,O
which,O
deformed,B
grains,I
are,O
replaced,O
by,O
a,O
new,O
set,O
of,O
undeformed,O
grains,B
that,O
nucleate,O
and,O
grow,O
until,O
the,O
original,O
grains,B
are,O
consumed,O
",",O
often,O
used,O
to,O
improve,O
ductility,B
and,O
remove,O
hardening,B
effects,O
from,O
cold,B
working,I
.,O
"
 
",O
Redox,B
Reactions,I
:,O
Chemical,B
reactions,I
involving,O
the,O
transfer,O
of,O
electrons,B
between,O
two,O
species,O
",",O
affecting,O
the,O
oxidation,B
state,I
of,O
the,O
atoms,B
",",O
commonly,O
utilized,O
in,O
corrosion,B
processes,O
and,O
energy,B
storage,O
devices,O
.,O
"

 

",O
Refractory,B
Materials,I
:,O
Materials,B
that,O
are,O
resistant,O
to,O
high,O
temperatures,B
and,O
harsh,O
conditions,O
",",O
used,O
in,O
furnaces,O
",",O
kilns,O
",",O
and,O
reactors,O
where,O
materials,B
are,O
subjected,O
to,O
high,O
heat,B
.,O
"

 

",O
Reinforcement,B
Phases,I
:,O
Materials,B
added,O
to,O
a,O
matrix,B
to,O
improve,O
its,O
mechanical,B
properties,O
",",O
such,O
as,O
strength,B
",",O
toughness,B
",",O
and,O
stiffness,B
",",O
typically,O
found,O
in,O
composite,B
materials,I
.,O
"

 

",O
Resin,B
Transfer,I
Molding,I
(,O
RTM,B
):,O
A,O
molding,B
process,I
where,O
resin,B
is,O
injected,O
into,O
a,O
mold,B
that,O
contains,O
a,O
reinforcing,B
material,I
",",O
used,O
to,O
manufacture,O
complex,O
composite,O
parts,O
with,O
high,O
strength,B
and,O
lightweight,O
properties,O
.,O
"
",O
