Token,BIO1
Annealing,B
:,O
A,O
heat,B
treatment,I
process,O
that,O
alters,O
the,O
microstructure,B
of,O
a,O
material,B
to,O
reduce,O
hardness,B
",",O
increase,O
ductility,B
",",O
and,O
relieve,O
internal,B
stresses,I
.,O
"

 

",O
Atomic,B
Layer,I
Deposition,I
(,O
ALD,B
):,O
A,O
thin,B
-,I
film,I
deposition,I
technique,O
that,O
allows,O
for,O
the,O
precise,O
layer,O
-,O
by,O
-,O
layer,O
construction,O
of,O
materials,B
",",O
often,O
used,O
for,O
coating,B
",",O
semiconductor,B
devices,I
",",O
and,O
nanotechnology,B
.,O
"

 

",O
Austenitizing,B
:,O
Heating,O
a,O
ferrous,B
alloy,I
to,O
a,O
temperature,O
at,O
which,O
it,O
changes,O
to,O
austenite,B
",",O
a,O
phase,O
that,O
allows,O
for,O
subsequent,O
heat,B
treatments,I
like,O
quenching,B
to,O
form,O
martensite,B
.,O
"

 

",O
Bainite,B
:,O
A,O
two,O
-,O
phase,O
microstructure,B
in,O
steel,B
that,O
combines,O
strength,B
and,O
ductility,B
",",O
formed,O
at,O
temperatures,B
lower,O
than,O
those,O
producing,O
pearlite,B
and,O
higher,O
than,O
those,O
producing,O
martensite,B
.,O
"

 

",O
Biodegradable,B
Polymers,I
:,O
Polymers,B
designed,O
to,O
break,O
down,O
into,O
non,B
-,I
toxic,I
components,O
after,O
use,O
",",O
often,O
used,O
in,O
medical,O
applications,O
and,O
environmentally,O
friendly,O
packaging,O
.,O
"

 

",O
Biomaterials,B
:,O
Materials,B
",",O
either,O
natural,O
or,O
synthetic,O
",",O
that,O
are,O
used,O
to,O
interact,O
with,O
biological,B
systems,I
for,O
medical,O
purposes,O
",",O
such,O
as,O
implants,O
",",O
devices,O
",",O
or,O
tissue,B
engineering,I
scaffolds,I
.,O
"

 

",O
Bulk,B
Metallic,I
Glasses,I
:,O
Amorphous,B
metals,I
produced,O
in,O
larger,O
volumes,O
than,O
typical,O
metallic,B
glasses,I
",",O
without,O
the,O
need,O
for,O
rapid,O
cooling,O
",",O
offering,O
superior,O
strength,B
and,O
elasticity,B
.,O
"

 

",O
Calorimetry,B
:,O
A,O
technique,O
used,O
to,O
measure,O
the,O
heat,B
of,O
chemical,B
reactions,I
or,O
physical,B
changes,O
",",O
as,O
well,O
as,O
heat,B
capacity,I
.,O
"

 

",O
Carbon,B
Nanotubes,I
(,O
CNTs,B
):,O
Cylindrical,B
nanostructures,I
with,O
remarkable,O
mechanical,B
",",O
electrical,B
",",O
and,O
thermal,B
properties,O
",",O
used,O
in,O
various,O
applications,O
from,O
materials,B
reinforcement,B
to,O
electronics,B
.,O
"

 

",O
Cementite,B
:,O
A,O
compound,O
of,O
iron,B
and,O
carbon,B
",",O
known,O
as,O
iron,B
carbide,I
(,O
Fe3C,B
),O
",",O
which,O
is,O
a,O
hard,O
phase,O
in,O
steel,B
contributing,O
to,O
its,O
hardness,B
and,O
strength,B
.,O
"

 

",O
Ceramic,B
Matrix,I
Composites,I
(,O
CMCs,B
):,O
Composites,O
made,O
of,O
ceramic,B
fibers,I
embedded,O
in,O
a,O
ceramic,B
matrix,I
",",O
offering,O
high,O
temperature,B
resistance,I
and,O
toughness,B
.,O
"

 

",O
Chemical,B
Vapor,I
Deposition,I
(,O
CVD,B
):,O
A,O
process,O
used,O
to,O
produce,O
high,O
-,O
quality,O
",",O
high,O
-,O
performance,O
solid,B
materials,I
by,O
depositing,O
a,O
thin,B
film,I
from,O
a,O
gas,B
phase,O
.,O
"

 

",O
Cladding,B
:,O
A,O
process,O
of,O
coating,B
a,O
material,B
(,O
substrate,B
),O
with,O
another,O
material,B
for,O
protective,O
or,O
aesthetic,O
purposes,O
",",O
often,O
used,O
in,O
nuclear,B
reactors,I
and,O
on,O
building,B
exteriors,I
.,O
"

 

",O
Coating,B
Adhesion,I
:,O
The,O
degree,O
to,O
which,O
a,O
coating,B
material,B
sticks,O
to,O
the,O
substrate,B
material,B
",",O
crucial,B
for,O
the,O
durability,O
and,O
effectiveness,O
of,O
the,O
coating,B
.,O
"

 

",O
Cold,B
Rolling,I
:,O
A,O
metalworking,B
process,O
that,O
passes,O
metal,B
through,O
rollers,O
at,O
a,O
temperature,O
below,O
its,O
recrystallization,B
temperature,O
to,O
reduce,O
thickness,O
",",O
improve,O
surface,O
finish,O
",",O
and,O
enhance,O
mechanical,B
properties,O
.,O
"

 

",O
Composite,B
Materials,I
:,O
Materials,B
made,O
from,O
two,O
or,O
more,O
constituent,O
materials,B
with,O
significantly,O
different,O
physical,B
or,O
chemical,B
properties,O
",",O
that,O
when,O
combined,O
",",O
produce,O
a,O
material,B
with,O
characteristics,O
different,O
from,O
the,O
individual,O
components,O
.,O
"

 

",O
Conducting,B
Polymers,I
:,O
Polymers,B
that,O
conduct,O
electricity,B
",",O
used,O
in,O
applications,O
such,O
as,O
organic,B
light,I
-,I
emitting,I
diodes,I
(,O
OLEDs,B
),O
",",O
solar,B
cells,I
",",O
and,O
electronic,B
devices,O
.,O
"

 

",O
Creep,B
Resistance,I
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
resist,O
deformation,B
under,O
sustained,O
load,O
over,O
a,O
long,O
period,O
",",O
important,O
for,O
high,O
-,O
temperature,O
applications,O
.,O
"

 

",O
Critical,B
Resolved,I
Shear,I
Stress,I
(,O
CRSS,B
):,O
The,O
minimum,O
stress,B
required,O
to,O
initiate,O
slip,B
in,O
a,O
crystal,B
lattice,I
",",O
important,O
in,O
understanding,O
the,O
mechanical,B
behavior,O
of,O
materials,B
.,O
"

 

",O
Cryogenic,B
Treatment,I
:,O
A,O
process,O
of,O
treating,O
materials,B
at,O
very,O
low,O
temperatures,B
to,O
improve,O
their,O
wear,B
resistance,I
",",O
hardness,B
",",O
and,O
dimensional,O
stability,O
.,O
"

 

",O
Crystal,B
Growth,I
:,O
The,O
process,O
by,O
which,O
a,O
crystalline,B
substance,I
grows,O
due,O
to,O
the,O
arrangement,O
of,O
its,O
atoms,B
or,O
molecules,B
in,O
a,O
highly,O
ordered,O
microscopic,B
structure,I
.,O
"

 

",O
Crystallographic,B
Texture,I
:,O
The,O
orientation,B
distribution,I
of,O
crystallites,B
in,O
a,O
polycrystalline,B
material,I
",",O
which,O
can,O
significantly,O
affect,O
its,O
properties,O
.,O
"

 

",O
Deformation,B
Mechanisms,I
:,O
The,O
processes,O
by,O
which,O
materials,B
undergo,O
deformation,B
",",O
including,O
slip,B
",",O
twinning,B
",",O
and,O
creep,B
.,O
"

 

",O
Dendritic,B
Solidification,I
:,O
The,O
formation,O
of,O
tree,O
-,O
like,O
structures,B
during,O
the,O
solidification,B
of,O
alloys,B
",",O
influenced,O
by,O
cooling,O
rates,O
and,O
composition,O
.,O
"

 

",O
Density,B
Functional,I
Theory,I
(,O
DFT,B
):,O
A,O
quantum,B
mechanical,I
method,O
used,O
to,O
investigate,O
the,O
electronic,B
structure,I
of,O
many,O
-,O
body,O
systems,O
",",O
particularly,O
in,O
the,O
field,O
of,O
materials,B
science,I
.,O
"

 

",O
Dielectric,B
Materials,I
:,O
Insulating,B
materials,I
that,O
can,O
be,O
polarized,B
by,O
an,O
electric,B
field,I
",",O
important,O
in,O
capacitors,B
and,O
other,O
electrical,B
components,O
.,O
"

 

",O
Diffusion,B
Bonding,I
:,O
A,O
solid,B
-,I
state,I
welding,I
technique,O
that,O
joins,O
materials,B
using,O
high,O
pressure,B
and,O
elevated,O
temperature,O
without,O
melting,B
",",O
relying,O
on,O
diffusion,B
of,O
atoms,B
across,O
the,O
bond,O
.,O
"

 

",O
Direct,B
Metal,I
Laser,I
Sintering,I
(,O
DMLS,B
):,O
An,O
additive,B
manufacturing,I
technique,O
that,O
uses,O
a,O
laser,B
to,O
sinter,B
powdered,B
metal,I
",",O
creating,O
complex,O
geometries,O
layer,O
by,O
layer,O
.,O
"

 

",O
Dislocation,B
Dynamics,I
:,O
The,O
study,O
of,O
the,O
movement,O
and,O
interaction,O
of,O
dislocations,B
within,O
crystalline,B
solids,I
",",O
crucial,B
for,O
understanding,O
material,B
strength,B
and,O
deformation,B
.,O
"

 

",O
Doping,B
(,O
Semiconductors,B
):,O
The,O
addition,O
of,O
impurities,B
to,O
a,O
semiconductor,B
to,O
change,O
its,O
electrical,B
properties,O
",",O
crucial,B
for,O
the,O
function,O
of,O
electronic,B
devices,O
.,O
"

 

",O
Ductility,B
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
deform,O
under,O
tensile,B
stress,I
",",O
important,O
for,O
materials,B
that,O
need,O
to,O
undergo,O
shaping,O
or,O
withstand,O
structural,O
loads,O
without,O
fracturing,B
.,O
"

 

",O
Dynamic,B
Mechanical,I
Analysis,I
(,O
DMA,B
):,O
A,O
technique,O
used,O
to,O
study,O
the,O
properties,O
of,O
materials,B
as,O
they,O
are,O
deformed,B
under,O
periodic,O
stress,B
",",O
useful,O
for,O
characterizing,O
polymers,B
.,O
"

 

",O
Eddy,B
Current,I
Testing,I
:,O
A,O
non,B
-,I
destructive,I
testing,I
method,O
that,O
uses,O
electromagnetic,B
induction,I
to,O
detect,O
flaws,B
in,O
conductive,B
materials,I
.,O
"

 

",O
Electrical,B
Conductivity,I
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
conduct,O
electric,B
current,I
",",O
crucial,B
for,O
materials,B
used,O
in,O
electrical,B
and,O
electronic,B
applications,O
.,O
"

 

",O
Electromagnetic,B
Shielding,I
:,O
The,O
process,O
of,O
blocking,O
electromagnetic,B
fields,I
using,O
barrier,O
made,O
of,O
conductive,O
or,O
magnetic,B
materials,I
",",O
important,O
for,O
protecting,O
electronic,B
devices,O
from,O
interference,O
.,O
"

 

",O
Electron,B
Microscopy,I
:,O
A,O
technique,O
that,O
uses,O
a,O
beam,O
of,O
electrons,B
to,O
create,O
an,O
image,B
of,O
the,O
specimen,O
",",O
offering,O
higher,O
resolution,O
than,O
light,B
microscopy,I
.,O
"

 

",O
Electron,B
Probe,I
Microanalysis,I
(,O
EPMA,B
):,O
An,O
analytical,O
technique,O
that,O
uses,O
a,O
focused,O
beam,O
of,O
electrons,B
to,O
obtain,O
quantitative,B
elemental,I
analysis,I
of,O
small,O
volumes,O
of,O
materials,B
.,O
"

 

",O
Electrospinning,B
:,O
A,O
process,O
used,O
to,O
produce,O
fine,O
",",O
continuous,O
fibers,B
from,O
a,O
polymer,B
solution,I
or,O
melt,B
using,O
an,O
electrostatic,B
force,I
.,O
"

 

",O
Energy,B
Dispersive,I
X,I
-,I
ray,I
Spectroscopy,I
(,O
EDS,B
):,O
An,O
analytical,O
technique,O
used,O
alongside,O
electron,B
microscopy,I
to,O
determine,O
the,O
elemental,O
composition,O
of,O
materials,B
.,O
"

 

",O
Eutectic,B
Systems,I
:,O
Mixtures,B
of,O
substances,B
that,O
have,O
a,O
single,O
chemical,B
composition,O
that,O
solidifies,B
at,O
a,O
lower,O
temperature,O
than,O
any,O
other,O
composition,O
made,O
up,O
of,O
the,O
same,O
ingredients,O
.,O
"

 

",O
Fatigue,B
Life,I
:,O
The,O
number,O
of,O
cycles,O
of,O
stress,B
or,O
strain,B
a,O
material,B
can,O
withstand,O
before,O
failure,O
occurs,O
due,O
to,O
fatigue,B
.,O
"

",O
Ferroelectric,B
Materials,I
:,O
Materials,B
that,O
possess,O
a,O
spontaneous,O
electric,B
polarization,I
that,O
can,O
be,O
reversed,O
by,O
the,O
application,O
of,O
an,O
external,O
electric,B
field,I
",",O
used,O
in,O
sensors,B
",",O
actuators,B
",",O
and,O
memory,B
devices,I
.,O
"

 

",O
Fiber,B
Reinforced,I
Composites,I
:,O
Composites,O
made,O
by,O
embedding,O
fibers,B
of,O
one,O
material,B
in,O
a,O
matrix,B
of,O
another,O
to,O
achieve,O
superior,O
strength,B
",",O
stiffness,B
",",O
and,O
other,O
properties,O
than,O
either,O
of,O
the,O
components,O
alone,O
.,O
"

 

",O
Focused,B
Ion,I
Beam,I
(,I
FIB,I
),I
Milling,I
:,O
A,O
material,B
processing,O
technique,O
that,O
uses,O
a,O
focused,O
beam,O
of,O
ions,B
to,O
precisely,O
remove,O
material,B
from,O
a,O
substrate,B
",",O
used,O
for,O
machining,O
",",O
imaging,O
",",O
and,O
deposition,O
at,O
the,O
micro,O
-,O
and,O
nanoscale,O
.,O
"

 

",O
Forging,B
:,O
A,O
manufacturing,O
process,O
that,O
shapes,O
metal,B
using,O
localized,O
compressive,B
forces,O
",",O
often,O
hammering,O
or,O
pressing,B
",",O
to,O
produce,O
parts,O
with,O
high,O
strength,B
.,O
"

 

",O
Fractography,B
:,O
The,O
study,O
of,O
the,O
fracture,O
surfaces,O
of,O
materials,B
to,O
determine,O
the,O
cause,O
of,O
failure,O
",",O
using,O
techniques,O
like,O
scanning,B
electron,I
microscopy,I
.,O
"

 

",O
Fracture,B
Mechanics,I
:,O
A,O
field,O
of,O
mechanics,O
that,O
studies,O
the,O
formation,O
",",O
growth,O
",",O
and,O
propagation,O
of,O
cracks,B
in,O
materials,B
and,O
structures,B
under,O
stress,B
.,O
"

 

",O
Functionally,B
Graded,I
Materials,I
(,O
FGMs,B
):,O
Materials,B
with,O
spatial,B
variations,O
in,O
composition,O
and,O
structure,B
",",O
engineered,O
to,O
have,O
specific,O
properties,O
that,O
vary,O
over,O
volume,O
",",O
enhancing,O
their,O
performance,O
in,O
multifunctional,O
applications,O
.,O
"

 

",O
Galvanic,B
Corrosion,I
:,O
A,O
type,O
of,O
corrosion,B
that,O
occurs,O
when,O
two,O
different,O
metals,B
are,O
in,O
electrical,B
contact,O
in,O
a,O
corrosive,O
environment,O
",",O
causing,O
one,O
metal,B
(,O
the,O
anode,B
),O
to,O
corrode,B
faster,O
than,O
it,O
would,O
alone,O
",",O
and,O
the,O
other,O
(,O
the,O
cathode,B
),O
to,O
corrode,B
slower,O
.,O
"

 

",O
Glass,B
Transition,I
Temperature,I
:,O
The,O
temperature,O
at,O
which,O
a,O
polymer,B
changes,O
from,O
a,O
hard,O
",",O
glassy,B
material,B
to,O
a,O
soft,O
",",O
rubbery,B
material,B
",",O
indicating,O
a,O
phase,O
transition,O
rather,O
than,O
a,O
melting,B
point,I
.,O
"

 

",O
Grain,B
Boundary,I
Engineering,I
:,O
A,O
process,O
of,O
manipulating,O
the,O
size,O
",",O
shape,O
",",O
and,O
distribution,O
of,O
grains,B
and,O
grain,B
boundaries,I
in,O
a,O
polycrystalline,B
material,I
to,O
enhance,O
its,O
mechanical,B
and,O
physical,B
properties,O
.,O
"

 

",O
Grain,B
Refinement,I
:,O
The,O
process,O
of,O
increasing,O
the,O
number,O
of,O
grains,B
in,O
a,O
material,B
",",O
leading,O
to,O
finer,O
grain,B
structure,B
",",O
which,O
improves,O
mechanical,B
properties,O
like,O
strength,B
and,O
toughness,B
.,O
"

 

",O
Graphene,B
:,O
A,O
single,O
layer,O
of,O
carbon,B
atoms,I
arranged,O
in,O
a,O
two,O
-,O
dimensional,O
honeycomb,B
lattice,I
",",O
known,O
for,O
its,O
exceptional,O
strength,B
",",O
electrical,B
conductivity,I
",",O
and,O
thermal,B
conductivity,I
.,O
"

 

",O
Hall,B
-,I
Petch,I
Relationship,I
:,O
A,O
principle,O
stating,O
that,O
the,O
strength,B
of,O
a,O
crystalline,B
material,I
increases,O
as,O
the,O
grain,B
size,O
decreases,O
",",O
due,O
to,O
the,O
restriction,O
of,O
dislocation,O
movement,O
by,O
the,O
grain,B
boundaries,I
.,O
"

 

",O
Hardness,B
Testing,I
:,O
The,O
measurement,O
of,O
a,O
material,B
's,O
resistance,B
to,O
deformation,B
",",O
typically,O
by,O
indenting,O
the,O
material,B
with,O
a,O
specific,O
indenter,B
and,O
measuring,O
the,O
size,O
of,O
the,O
indentation,B
.,O
"

 

",O
Heat,B
Treatment,I
:,O
A,O
group,O
of,O
industrial,O
processes,O
used,O
to,O
alter,O
the,O
physical,B
and,O
sometimes,O
chemical,B
properties,O
of,O
a,O
material,B
",",O
involving,O
heating,O
and,O
cooling,O
cycles,O
to,O
achieve,O
desired,O
outcomes,O
such,O
as,O
hardening,B
",",O
softening,B
",",O
or,O
increasing,O
toughness,B
.,O
"

 

",O
High,B
Entropy,I
Alloys,I
(,O
HEAs,B
):,O
Alloys,B
that,O
are,O
formed,O
by,O
mixing,O
five,O
or,O
more,O
elements,O
in,O
equal,O
or,O
nearly,O
equal,O
quantities,O
",",O
characterized,O
by,O
their,O
high,O
strength,B
",",O
toughness,B
",",O
and,O
resistance,B
to,O
corrosion,B
and,O
oxidation,B
.,O
"

 

",O
High,B
-,I
Temperature,I
Superconductors,I
:,O
Materials,B
that,O
conduct,O
electricity,B
without,O
resistance,B
at,O
temperatures,B
significantly,O
above,O
the,O
boiling,B
point,I
of,O
liquid,B
nitrogen,I
(,O
-196,O
°,O
C,O
),O
",",O
used,O
in,O
magnetic,B
resonance,I
imaging,I
(,O
MRI,B
),O
",",O
maglev,B
trains,I
",",O
and,O
power,B
cables,I
.,O
"

 

",O
Hot,B
Isostatic,I
Pressing,I
(,O
HIP,B
):,O
A,O
process,O
that,O
applies,O
high,O
pressure,B
and,O
high,O
temperature,O
simultaneously,O
to,O
compact,O
and,O
eliminate,O
voids,O
in,O
materials,B
",",O
improving,O
mechanical,B
properties,O
and,O
density,B
.,O
"

 

",O
Hydrothermal,B
Synthesis,I
:,O
A,O
method,O
of,O
synthesizing,O
materials,B
in,O
an,O
aqueous,B
environment,I
under,O
high,O
pressure,B
and,O
temperature,O
",",O
commonly,O
used,O
for,O
the,O
growth,O
of,O
crystals,B
and,O
the,O
fabrication,O
of,O
nanostructures,O
.,O
"

",O
